datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,city
2024-01-01,1704063600,13.7,8.0,10.3,13.7,8.0,10.3,9.6,95.3,10.038,100.0,12.5,['rain'],0.0,0.0,35.3,7.3,263.4,1014.5,95.2,9.3,27.7,2.3,1.0,07:21:22,1704090082,16:23:01,1704122581,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-02,1704150000,12.1,6.1,8.9,12.1,5.2,8.8,7.7,92.8,0.002,100.0,4.17,['rain'],0.0,1.7,21.2,7.1,70.6,1015.9,63.4,14.0,75.7,6.6,4.0,07:21:26,1704176486,16:23:54,1704209034,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-03,1704236400,12.1,7.0,10.4,12.1,6.8,10.3,9.1,91.9,0.401,100.0,8.33,['rain'],0.0,0.0,29.2,7.6,261.9,1012.8,86.5,13.2,47.7,4.1,2.0,07:21:28,1704262888,16:24:49,1704295489,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-04,1704322800,13.7,3.0,10.3,13.7,1.7,10.1,8.6,89.6,4.995,100.0,8.33,['rain'],0.0,0.0,59.4,14.5,258.4,1010.0,59.5,13.7,44.2,3.8,2.0,07:21:28,1704349288,16:25:45,1704381945,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-05,1704409200,15.0,1.2,7.3,15.0,-0.2,7.1,5.9,91.4,0.001,100.0,4.17,['rain'],0.0,1.3,41.4,13.1,188.3,1014.0,80.5,12.8,63.3,5.5,3.0,07:21:25,1704435685,16:26:43,1704468403,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-06,1704495600,16.0,12.0,14.3,16.0,12.0,14.3,10.8,80.0,4.001,100.0,12.5,['rain'],0.0,0.9,68.4,36.4,157.7,1003.8,90.4,13.2,18.6,1.7,1.0,07:21:20,1704522080,16:27:42,1704554862,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-07,1704582000,13.0,9.1,11.0,13.0,7.3,10.9,7.8,81.7,4.603,100.0,12.5,['rain'],0.0,0.0,26.3,20.2,4.4,996.5,82.6,14.4,41.4,3.7,2.0,07:21:12,1704608472,16:28:43,1704641323,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-08,1704668400,10.0,5.2,7.5,10.0,2.1,5.3,-0.8,56.3,0.006,100.0,4.17,['rain'],0.0,0.0,37.1,24.6,9.7,1007.0,75.5,14.4,44.8,3.9,2.0,07:21:01,1704694861,16:29:46,1704727786,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-09,1704754800,5.9,0.0,3.9,4.9,-2.6,1.1,-5.0,52.3,0.002,100.0,4.17,['rain'],0.0,0.0,75.6,28.1,32.7,1018.8,27.4,15.9,86.5,7.4,4.0,07:20:49,1704781249,16:30:50,1704814250,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-10,1704841200,7.2,-1.9,3.0,5.9,-2.6,1.0,-4.4,59.6,0.0,0.0,0.0,,0.0,3.7,26.6,17.5,61.9,1025.8,29.9,16.5,94.9,8.2,4.0,07:20:33,1704867633,16:31:56,1704900716,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-11,1704927600,6.3,-3.8,2.0,3.3,-6.2,-0.4,-3.7,67.2,0.0,0.0,0.0,,0.0,3.6,20.2,17.7,61.0,1022.6,34.2,16.5,94.4,8.3,4.0,07:20:16,1704954016,16:33:02,1704987182,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-12,1705014000,7.4,-2.9,3.4,5.0,-7.1,0.5,-6.1,51.1,0.001,100.0,4.17,['rain'],0.0,1.8,63.0,21.6,27.9,1019.6,33.1,15.5,89.4,7.8,4.0,07:19:56,1705040396,16:34:10,1705073650,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-13,1705100400,7.9,-3.0,2.8,6.2,-6.0,1.1,-7.6,47.8,0.0,0.0,0.0,,0.0,3.7,27.7,14.3,58.2,1020.6,13.6,16.5,97.7,8.4,4.0,07:19:33,1705126773,16:35:19,1705160119,0.07,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-14,1705186800,2.9,-6.8,-0.2,2.9,-7.2,-0.5,-3.3,80.1,0.001,100.0,4.17,"['rain', 'snow']",0.4,3.5,19.8,7.5,11.9,1016.9,69.0,16.1,45.7,3.8,3.0,07:19:09,1705213149,16:36:30,1705246590,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-15,1705273200,7.6,1.0,4.7,7.6,0.6,4.5,4.3,96.9,13.189,100.0,12.5,"['rain', 'snow']",0.1,3.6,34.6,7.1,2.7,1004.8,96.1,7.4,13.2,1.2,1.0,07:18:41,1705299521,16:37:41,1705333061,0.14,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-16,1705359600,11.4,6.0,7.9,11.4,4.1,6.9,1.2,66.4,2.998,100.0,8.33,['rain'],0.0,3.7,29.9,21.0,28.2,1009.1,66.4,12.6,86.8,7.6,4.0,07:18:12,1705385892,16:38:54,1705419534,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-17,1705446000,14.0,5.0,8.4,14.0,3.9,8.3,7.3,93.3,3.102,100.0,12.5,['rain'],0.0,3.4,46.1,14.6,144.3,1010.8,97.4,12.7,20.6,1.7,1.0,07:17:40,1705472260,16:40:07,1705506007,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-18,1705532400,17.4,10.0,14.5,17.4,10.0,14.5,11.5,82.4,5.003,100.0,12.5,['rain'],0.0,2.4,64.8,18.1,193.2,1002.9,87.3,13.0,39.9,3.3,2.0,07:17:06,1705558626,16:41:21,1705592481,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-19,1705618800,17.2,3.0,11.4,17.2,-1.9,10.4,8.2,81.6,0.201,100.0,4.17,['rain'],0.0,2.1,57.6,28.4,4.2,1007.6,91.2,13.0,54.1,4.6,3.0,07:16:30,1705644990,16:42:36,1705678956,0.28,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-20,1705705200,5.9,2.1,4.3,3.8,-4.4,-0.4,-8.6,42.1,4.003,100.0,12.5,['rain'],0.2,2.0,104.4,39.9,30.9,1020.1,63.2,15.3,84.2,7.3,3.0,07:15:51,1705731351,16:43:52,1705765432,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-21,1705791600,9.4,-1.0,5.0,6.9,-3.9,1.9,-13.0,27.5,0.0,0.0,0.0,,0.0,3.3,74.2,29.1,62.6,1028.6,9.2,16.5,108.8,9.6,5.0,07:15:10,1705817710,16:45:09,1705851909,0.35,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-22,1705878000,9.1,-5.0,2.4,8.2,-8.2,0.8,-6.8,53.2,0.0,0.0,0.0,,0.0,3.2,22.3,17.5,26.5,1031.1,10.2,16.5,109.9,9.3,5.0,07:14:27,1705904067,16:46:26,1705938386,0.38,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-23,1705964400,12.4,-3.0,5.3,12.4,-3.0,4.5,-0.9,67.3,0.5,100.0,8.33,"['rain', 'snow']",0.0,3.3,48.2,28.8,331.0,1027.6,42.9,15.9,81.4,7.1,4.0,07:13:42,1705990422,16:47:44,1706024864,0.42,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow in the morning and afternoon.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-24,1706050800,12.9,2.0,7.6,12.9,0.1,7.0,-0.4,57.9,0.0,0.0,0.0,,0.0,3.3,86.4,20.1,18.7,1028.8,55.0,16.1,91.8,7.9,4.0,07:12:55,1706076775,16:49:03,1706111343,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-25,1706137200,13.3,-0.9,5.4,13.3,-2.8,5.1,1.2,75.9,0.002,100.0,8.33,['rain'],0.0,3.4,20.5,27.9,12.1,1023.9,40.8,16.5,48.6,4.1,2.0,07:12:05,1706163125,16:50:22,1706197822,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-26,1706223600,15.2,-1.9,6.4,15.2,-1.9,6.3,1.2,73.2,0.0,0.0,0.0,,0.0,3.4,25.2,7.3,19.9,1025.0,37.7,16.6,109.7,9.4,5.0,07:11:14,1706249474,16:51:41,1706284301,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-27,1706310000,14.2,3.0,9.5,14.2,1.8,9.1,-4.3,45.0,0.0,0.0,0.0,,0.0,3.4,59.4,23.6,30.1,1027.2,26.1,16.5,114.3,9.9,5.0,07:10:21,1706335821,16:53:01,1706370781,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-28,1706396400,11.4,3.0,8.0,11.4,0.9,7.1,-3.5,44.9,0.001,100.0,4.17,['rain'],0.0,3.8,37.1,20.1,22.6,1033.4,30.4,15.7,95.3,8.2,4.0,07:09:25,1706422165,16:54:21,1706457261,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-29,1706482800,12.8,0.1,7.0,12.8,-2.5,6.0,-3.6,48.3,0.0,0.0,0.0,,0.0,3.7,27.4,14.1,62.4,1034.6,9.0,16.5,117.5,10.1,5.0,07:08:28,1706508508,16:55:41,1706543741,0.62,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-30,1706569200,14.3,-2.9,5.3,14.3,-5.9,4.4,-4.3,53.0,0.0,0.0,0.0,,0.0,3.6,24.5,14.2,59.2,1035.1,0.2,16.5,120.9,10.4,5.0,07:07:29,1706594849,16:57:02,1706630222,0.65,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-01-31,1706655600,15.0,-5.8,4.2,15.0,-5.8,3.9,-5.5,53.9,0.0,0.0,0.0,,0.0,3.5,18.4,10.5,22.4,1032.5,10.6,16.5,121.2,10.5,5.0,07:06:27,1706681187,16:58:23,1706716703,0.69,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-01,1706742000,14.8,-4.8,4.9,14.8,-6.1,4.6,-3.9,56.9,0.0,0.0,0.0,,0.0,3.5,14.8,7.1,307.2,1027.0,37.8,16.5,123.2,10.7,5.0,07:05:24,1706767524,16:59:44,1706803184,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-02,1706828400,14.1,0.1,9.1,14.1,-0.5,8.9,-1.7,49.7,0.0,0.0,0.0,,0.0,3.5,59.4,20.2,33.8,1026.4,41.4,16.1,119.3,10.3,5.0,07:04:20,1706853860,17:01:05,1706889665,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-03,1706914800,16.2,0.2,8.1,16.2,0.2,8.0,-0.3,57.0,0.0,0.0,0.0,,0.0,3.5,22.0,7.5,261.7,1025.8,24.6,16.5,120.0,10.3,5.0,07:03:13,1706940193,17:02:27,1706976147,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-04,1707001200,17.0,-0.8,7.6,17.0,-0.8,7.4,3.2,76.4,0.0,0.0,0.0,,0.0,3.4,18.0,9.1,243.0,1024.4,20.6,16.5,122.3,10.5,5.0,07:02:05,1707026525,17:03:48,1707062628,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-05,1707087600,14.9,2.0,8.1,14.9,1.7,7.9,5.7,85.9,0.0,0.0,0.0,,0.0,3.3,19.8,7.1,34.9,1024.9,57.2,13.8,113.9,9.8,5.0,07:00:55,1707112855,17:05:10,1707149110,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-06,1707174000,10.1,-0.8,5.8,10.1,-0.8,5.8,4.5,91.3,0.0,0.0,0.0,,0.0,3.2,22.7,5.3,58.6,1023.8,75.6,12.6,92.1,7.9,4.0,06:59:43,1707199183,17:06:31,1707235591,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-07,1707260400,13.9,7.9,9.9,13.9,7.3,9.9,7.9,86.9,0.0,0.0,0.0,,0.0,3.1,29.9,7.5,106.2,1017.0,89.9,12.7,59.2,5.1,3.0,06:58:30,1707285510,17:07:53,1707322073,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-08,1707346800,16.0,6.0,10.5,16.0,5.1,10.5,8.2,85.9,0.0,0.0,0.0,,0.0,3.0,25.9,7.3,22.2,1011.9,80.8,11.8,78.5,6.8,4.0,06:57:15,1707371835,17:09:14,1707408554,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-09,1707433200,16.4,5.2,11.2,16.4,5.2,11.1,7.4,79.2,0.0,0.0,0.0,,0.0,2.9,47.9,14.8,199.6,1010.3,79.9,14.0,88.3,7.6,4.0,06:55:59,1707458159,17:10:35,1707495035,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-10,1707519600,17.1,11.1,13.8,17.1,11.1,13.8,10.5,81.2,10.494,100.0,12.5,['rain'],0.0,2.9,84.6,29.0,178.4,1004.2,93.4,13.2,38.7,3.4,2.0,06:54:41,1707544481,17:11:57,1707581517,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-11,1707606000,15.1,10.0,12.4,15.1,9.1,12.3,11.2,92.9,43.465,100.0,16.67,['rain'],0.0,3.4,68.4,27.4,185.5,997.8,97.0,12.6,70.0,6.1,3.0,06:53:22,1707630802,17:13:18,1707667998,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-12,1707692400,11.9,9.0,10.1,11.9,8.6,10.0,9.3,94.6,5.503,100.0,16.67,['rain'],0.0,3.8,27.4,9.2,346.9,1003.8,92.5,11.8,59.4,5.1,3.0,06:52:01,1707717121,17:14:39,1707754479,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-13,1707778800,15.1,7.9,11.2,15.1,7.9,11.2,3.4,62.3,0.005,100.0,12.5,['rain'],0.0,4.7,51.8,39.7,18.7,1012.6,66.9,14.1,125.0,10.9,5.0,06:50:39,1707803439,17:15:59,1707840959,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-14,1707865200,15.6,5.0,11.2,15.6,4.0,10.6,-6.2,30.9,0.002,100.0,4.17,['rain'],0.0,5.4,61.2,36.2,22.9,1020.4,31.2,16.5,143.8,12.4,6.0,06:49:16,1707889756,17:17:20,1707927440,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-15,1707951600,17.2,0.2,10.1,17.2,-1.6,9.7,-0.4,49.7,0.0,0.0,0.0,,0.0,5.2,28.1,23.7,49.7,1022.0,19.1,16.1,140.6,12.0,5.0,06:47:51,1707976071,17:18:40,1708013920,0.19,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-16,1708038000,19.8,1.1,10.6,19.8,-1.3,10.2,3.0,61.9,0.0,0.0,0.0,,0.0,5.1,18.4,7.5,29.3,1021.2,3.2,16.5,145.3,12.7,6.0,06:46:25,1708062385,17:20:01,1708100401,0.25,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14472099999', '14462099999', 'LQMO', '13353099999', '13348099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-17,1708124400,19.3,1.2,9.8,19.3,1.2,9.8,4.8,74.5,0.0,0.0,0.0,,0.0,5.0,18.4,3.8,112.8,1025.5,17.8,16.5,146.9,12.7,6.0,06:44:58,1708148698,17:21:20,1708186880,0.26,Clear,Clear conditions throughout the day.,clear-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-18,1708210800,19.1,4.1,12.8,19.1,2.2,12.6,1.6,52.2,0.0,0.0,0.0,,0.0,5.0,28.4,14.9,44.0,1028.3,30.0,16.5,136.0,11.7,6.0,06:43:30,1708235010,17:22:40,1708273360,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-19,1708297200,18.4,2.2,10.4,18.4,0.7,10.2,2.4,59.9,0.0,0.0,0.0,,0.0,4.9,18.4,10.6,24.2,1023.5,32.9,16.5,137.6,12.0,5.0,06:42:01,1708321321,17:23:59,1708359839,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-20,1708383600,16.4,7.0,12.4,16.4,5.7,12.2,2.3,51.2,0.0,0.0,0.0,,0.0,4.9,25.9,18.4,47.3,1022.0,53.6,16.5,134.8,11.6,5.0,06:40:30,1708407630,17:25:19,1708446319,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-21,1708470000,16.2,2.2,10.0,16.2,0.7,9.7,1.3,56.8,0.0,0.0,0.0,,0.0,2.5,24.5,11.2,70.1,1023.1,32.4,16.5,144.0,12.3,6.0,06:38:58,1708493938,17:26:37,1708532797,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-22,1708556400,15.8,-0.8,8.7,15.8,-0.8,8.6,2.6,67.8,0.0,0.0,0.0,,0.0,4.9,38.9,10.8,196.4,1018.6,53.9,16.3,110.0,9.5,5.0,06:37:26,1708580246,17:27:56,1708619276,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-23,1708642800,15.1,12.0,13.7,15.1,12.0,13.7,8.1,69.6,0.999,100.0,4.17,['rain'],0.0,2.5,55.8,23.9,181.6,1011.1,93.8,13.2,86.0,7.4,3.0,06:35:52,1708666552,17:29:14,1708705754,0.46,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-24,1708729200,15.0,8.4,11.2,15.0,6.9,11.1,9.7,90.8,30.474,100.0,16.67,['rain'],0.0,6.0,63.7,20.4,157.5,1011.3,97.6,10.0,30.0,2.6,1.0,06:34:18,1708752858,17:30:32,1708792232,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
2024-02-25,1708815600,9.6,8.7,9.1,9.6,7.0,8.5,8.6,96.9,70.957,100.0,16.67,['rain'],0.0,7.6,72.0,13.0,0.2,1011.6,97.5,8.9,35.3,2.8,2.0,06:32:42,1708839162,17:31:50,1708878710,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['LQSA', '14648099999', '14657099999', '14654099999', '14462099999', '14472099999', 'LQMO', '13348099999', '13353099999', '14652099999', '14454099999']",obs,,Mostar
